category,object,intent,scenario,pain_pattern,query,query_type,assigned_to
digital_accessories,ssd,,,{obj} scratched easily,ssd scratched easily,pain_or_howto,member_3
digital_accessories,charger,,,safe storage for {obj},safe storage for charger,pain_or_howto,member_3
digital_accessories,cables,,,best hard case for {obj},best hard case for cables,pain_or_howto,member_3
digital_accessories,ssd,,,safe storage for {obj},safe storage for ssd,pain_or_howto,member_3
digital_accessories,charger,,,best hard case for {obj},best hard case for charger,pain_or_howto,member_3
digital_accessories,charger,,,{obj} needs a case,charger needs a case,pain_or_howto,member_3
digital_accessories,adapter,,,{obj} needs a case,adapter needs a case,pain_or_howto,member_3
digital_accessories,charger,,,{obj} scratched easily,charger scratched easily,pain_or_howto,member_3
digital_accessories,ssd,,,how to store {obj},how to store ssd,pain_or_howto,member_3
digital_accessories,power bank,,,how to store {obj},how to store power bank,pain_or_howto,member_3
digital_accessories,ssd,,,best hard case for {obj},best hard case for ssd,pain_or_howto,member_3
digital_accessories,usb hub,,,{obj} easy to break,usb hub easy to break,pain_or_howto,member_3
digital_accessories,hard drive,,,how to protect {obj},how to protect hard drive,pain_or_howto,member_3
digital_accessories,adapter,,,{obj} scratched easily,adapter scratched easily,pain_or_howto,member_3
digital_accessories,adapter,,,safe storage for {obj},safe storage for adapter,pain_or_howto,member_3
digital_accessories,hard drive,,,{obj} scratched easily,hard drive scratched easily,pain_or_howto,member_3
digital_accessories,hard drive,,,{obj} easy to break,hard drive easy to break,pain_or_howto,member_3
digital_accessories,cables,,,{obj} needs a case,cables needs a case,pain_or_howto,member_3
digital_accessories,adapter,,,how to protect {obj},how to protect adapter,pain_or_howto,member_3
digital_accessories,power bank,,,best hard case for {obj},best hard case for power bank,pain_or_howto,member_3
