category,object,intent,scenario,pain_pattern,query,query_type,assigned_to
travel_outdoor,camping gear,hard case,unboxing,,camping gear hard case unboxing,product_intent_scenario,member_5
travel_outdoor,hiking equipment,storage,unboxing,,hiking equipment storage unboxing,product_intent_scenario,member_5
travel_outdoor,tools,storage,,,tools storage,product_intent,member_5
travel_outdoor,hiking equipment,carrying case,,,hiking equipment carrying case,product_intent,member_5
travel_outdoor,hiking equipment,travel case,,,hiking equipment travel case,product_intent,member_5
travel_outdoor,tools,carrying case,,,tools carrying case,product_intent,member_5
travel_outdoor,carry on essentials,travel case,,,carry on essentials travel case,product_intent,member_5
travel_outdoor,tools,holder,,,tools holder,product_intent,member_5
travel_outdoor,travel gear,organizer,,,travel gear organizer,product_intent,member_5
travel_outdoor,camping gear,storage,,,camping gear storage,product_intent,member_5
travel_outdoor,travel gear,travel case,,,travel gear travel case,product_intent,member_5
travel_outdoor,travel gear,storage,,,travel gear storage,product_intent,member_5
travel_outdoor,travel gear,box,,,travel gear box,product_intent,member_5
travel_outdoor,hiking equipment,box,,,hiking equipment box,product_intent,member_5
travel_outdoor,carry on essentials,holder,,,carry on essentials holder,product_intent,member_5
travel_outdoor,hiking equipment,hard case,,,hiking equipment hard case,product_intent,member_5
travel_outdoor,camping gear,travel case,,,camping gear travel case,product_intent,member_5
travel_outdoor,camping gear,organizer,,,camping gear organizer,product_intent,member_5
travel_outdoor,tools,box,,,tools box,product_intent,member_5
travel_outdoor,camping gear,box,,,camping gear box,product_intent,member_5
travel_outdoor,camping gear,case,,,camping gear case,product_intent,member_5
travel_outdoor,camping gear,carrying case,,,camping gear carrying case,product_intent,member_5
travel_outdoor,tools,hard case,,,tools hard case,product_intent,member_5
travel_outdoor,carry on essentials,organizer,,,carry on essentials organizer,product_intent,member_5
travel_outdoor,carry on essentials,case,,,carry on essentials case,product_intent,member_5
travel_outdoor,travel gear,case,,,travel gear case,product_intent,member_5
travel_outdoor,carry on essentials,storage,,,carry on essentials storage,product_intent,member_5
travel_outdoor,carry on essentials,protective case,,,carry on essentials protective case,product_intent,member_5
travel_outdoor,travel gear,holder,,,travel gear holder,product_intent,member_5
travel_outdoor,camping gear,protective case,,,camping gear protective case,product_intent,member_5
travel_outdoor,carry on essentials,box,,,carry on essentials box,product_intent,member_5
travel_outdoor,travel gear,hard case,,,travel gear hard case,product_intent,member_5
travel_outdoor,tools,,,safe storage for {obj},safe storage for tools,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,no good case for {obj},no good case for hiking equipment,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,best hard case for {obj},best hard case for hiking equipment,pain_or_howto,member_5
travel_outdoor,tools,,,no good case for {obj},no good case for tools,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,best hard case for {obj},best hard case for carry on essentials,pain_or_howto,member_5
travel_outdoor,tools,,,{obj} easy to break,tools easy to break,pain_or_howto,member_5
travel_outdoor,travel gear,,,{obj} scratched easily,travel gear scratched easily,pain_or_howto,member_5
travel_outdoor,camping gear,,,safe storage for {obj},safe storage for camping gear,pain_or_howto,member_5
travel_outdoor,travel gear,,,best hard case for {obj},best hard case for travel gear,pain_or_howto,member_5
travel_outdoor,travel gear,,,safe storage for {obj},safe storage for travel gear,pain_or_howto,member_5
travel_outdoor,travel gear,,,{obj} needs a case,travel gear needs a case,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,{obj} needs a case,hiking equipment needs a case,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,{obj} easy to break,carry on essentials easy to break,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,how to store {obj},how to store hiking equipment,pain_or_howto,member_5
travel_outdoor,camping gear,,,best hard case for {obj},best hard case for camping gear,pain_or_howto,member_5
travel_outdoor,camping gear,,,{obj} scratched easily,camping gear scratched easily,pain_or_howto,member_5
travel_outdoor,tools,,,{obj} needs a case,tools needs a case,pain_or_howto,member_5
travel_outdoor,camping gear,,,{obj} needs a case,camping gear needs a case,pain_or_howto,member_5
travel_outdoor,camping gear,,,how to protect {obj},how to protect camping gear,pain_or_howto,member_5
travel_outdoor,camping gear,,,no good case for {obj},no good case for camping gear,pain_or_howto,member_5
travel_outdoor,tools,,,how to store {obj},how to store tools,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,{obj} scratched easily,carry on essentials scratched easily,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,how to protect {obj},how to protect carry on essentials,pain_or_howto,member_5
travel_outdoor,travel gear,,,how to protect {obj},how to protect travel gear,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,safe storage for {obj},safe storage for carry on essentials,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,best way to carry {obj},best way to carry carry on essentials,pain_or_howto,member_5
travel_outdoor,travel gear,,,{obj} easy to break,travel gear easy to break,pain_or_howto,member_5
travel_outdoor,camping gear,,,best way to carry {obj},best way to carry camping gear,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,{obj} needs a case,carry on essentials needs a case,pain_or_howto,member_5
travel_outdoor,travel gear,,,how to store {obj},how to store travel gear,pain_or_howto,member_5
travel_outdoor,tools,,,{obj} scratched easily,tools scratched easily,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,safe storage for {obj},safe storage for hiking equipment,pain_or_howto,member_5
travel_outdoor,travel gear,,,best way to carry {obj},best way to carry travel gear,pain_or_howto,member_5
travel_outdoor,carry on essentials,,,no good case for {obj},no good case for carry on essentials,pain_or_howto,member_5
travel_outdoor,hiking equipment,,,{obj} easy to break,hiking equipment easy to break,pain_or_howto,member_5
